future_name,month,date,open,high,low,close,change,volume,open_int,open_int_change
Corn(CBOT),2021-07-01,2019-09-16,428.0,430.5,428.0,430.5,3.0,202,2226,48
Corn(CBOT),2021-07-01,2020-04-03,370.25,373.25,368.75,371.75,0.25,5419,35434,41
Corn(CBOT),2021-07-01,2020-04-17,365.0,369.0,365.0,366.75,1.75,4495,43158,1190
Corn(CBOT),2021-07-01,2019-08-30,424.75,426.0,424.75,424.75,1.0,93,2024,-25
Corn(CBOT),2021-07-01,2019-07-19,438.0,438.25,438.0,438.0,1.75,4,1860,0
Corn(CBOT),2021-07-01,2019-07-31,435.0,435.0,430.0,430.5,-4.5,4,1840,-4
Corn(CBOT),2021-07-01,2019-07-25,436.75,438.25,436.75,437.25,-0.25,39,1853,1
Corn(CBOT),2021-07-01,2021-04-12,563.75,571.25,554.25,556.0,-6.75,187448,480754,25445
Corn(CBOT),2021-07-01,2020-06-01,361.0,363.5,357.5,359.25,-3.25,4949,65482,493
Corn(CBOT),2021-07-01,2021-04-06,539.25,546.75,539.0,541.0,1.75,0,429257,6912
Corn(CBOT),2021-07-01,2020-06-15,365.75,366.25,362.75,365.0,-1.25,4926,67544,-345
Corn(CBOT),2021-07-01,2020-06-29,350.5,358.75,349.0,358.5,7.5,11897,71128,1624
Corn(CBOT),2021-07-01,2020-08-26,376.5,377.75,374.5,377.0,0.0,10861,93416,217
Corn(CBOT),2021-07-01,2019-10-03,423.5,424.25,423.25,424.25,1.0,114,2608,-36
Corn(CBOT),2021-07-01,2019-10-17,428.0,428.5,427.5,428.25,2.0,18,2966,1
Corn(CBOT),2021-07-01,2020-02-11,407.0,408.25,405.5,406.75,-1.5,2416,14989,620
Corn(CBOT),2021-07-01,2020-02-05,408.25,409.75,407.25,408.25,-1.0,1307,12246,728
Corn(CBOT),2021-07-01,2020-11-27,431.5,438.5,430.25,437.25,5.75,28255,213313,3383
Corn(CBOT),2021-07-01,2020-11-25,436.75,438.5,431.25,431.5,-5.0,24830,209930,2063
Corn(CBOT),2021-07-01,2020-02-04,407.0,409.25,407.0,409.25,3.5,1048,11518,221
Corn(CBOT),2021-07-01,2020-02-10,408.0,408.25,405.0,408.25,0.25,885,14369,528
Corn(CBOT),2021-07-01,2019-10-16,427.0,427.0,424.5,426.25,0.0,436,2965,21
Corn(CBOT),2021-07-01,2019-10-02,425.5,425.5,422.5,423.25,-2.75,150,2644,41
Corn(CBOT),2021-07-01,2021-02-12,527.0,532.5,523.75,525.0,-2.75,74805,371047,4080
Corn(CBOT),2021-07-01,2021-02-01,537.25,543.5,529.5,536.75,0.25,86859,317879,16630
