future_name,month,date,open,high,low,close,change,volume,open_int,open_int_change
Soybeans(CBOT),2021-07-01,2019-07-15,980.0,980.0,980.0,980.0,-9.0,1,45,1
Soybeans(CBOT),2021-07-01,2019-07-16,969.25,969.25,969.0,969.25,-10.75,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-17,963.75,963.75,963.75,963.75,-5.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-18,964.0,965.25,964.0,964.0,0.25,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-19,975.25,979.25,975.25,977.5,13.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-22,967.75,967.75,967.75,967.75,-9.75,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-23,967.75,968.25,966.0,967.75,0.0,1,45,0
Soybeans(CBOT),2021-07-01,2019-07-24,972.0,972.5,972.0,972.0,4.25,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-25,967.5,973.0,967.5,967.5,-4.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-26,970.5,971.0,970.5,970.5,3.0,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-29,975.75,975.75,975.75,975.75,5.25,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-30,973.25,973.25,967.0,973.25,-2.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-07-31,964.25,964.25,964.25,964.25,-9.0,0,45,0
Soybeans(CBOT),2021-07-01,2019-08-01,954.75,954.75,950.75,954.75,-9.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-08-02,955.0,955.0,955.0,955.0,0.25,0,45,45
Soybeans(CBOT),2021-07-01,2019-08-05,955.75,955.75,947.0,955.75,0.75,0,45,0
Soybeans(CBOT),2021-07-01,2019-08-06,952.5,952.5,952.5,952.5,-3.25,0,45,0
Soybeans(CBOT),2021-07-01,2019-08-07,949.25,953.0,949.25,953.0,0.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-08-08,966.5,966.5,966.5,966.5,13.5,0,45,0
Soybeans(CBOT),2021-07-01,2019-08-09,970.0,974.25,967.75,973.75,7.25,2,47,2
Soybeans(CBOT),2021-07-01,2019-08-12,971.25,972.25,969.5,969.5,-4.25,0,47,0
